term,coefficient,std_error,t_stat,p_value
Intercept,-30.382949758045125,0.16054360545932445,-189.25045112272,0.0
C(DayOfWeek)[T.2],-0.3357689903341169,0.11588191753144701,-2.8975097882980654,0.0037620602798414337
C(DayOfWeek)[T.3],-0.6798947675403437,0.1086325422195777,-6.2586657151600145,3.8959122844014384e-10
C(DayOfWeek)[T.4],0.29318677072654875,0.10559484472202053,2.7765254212775803,0.005495185496345647
C(DayOfWeek)[T.5],-0.011152998057855322,0.1059270196080406,-0.10528945399506673,0.9161463069714071
C(DayOfWeek)[T.6],-0.21681756641039768,0.11503696572494992,-1.8847643020140348,0.05946408146648896
C(DayOfWeek)[T.7],0.5920922632008924,0.11124444363191022,5.322443475559368,1.0256586562831839e-07
C(Airline)[T.AS],2.7526820992119103,0.1754507748020489,15.689198878247215,2.0360667400314014e-55
C(Airline)[T.B6],3.8816124955048963,0.1775213666252332,21.865607331084824,8.89849300214718e-106
C(Airline)[T.DL],0.8644854399520925,0.11028255892767584,7.838822823462309,4.584973053998771e-15
C(Airline)[T.F9],0.08650366087638603,0.1879911459032757,0.4601475269526442,0.6454111660158948
C(Airline)[T.G4],5.13834241315026,0.22845666325642666,22.491541020989306,8.565783419256092e-112
C(Airline)[T.HA],13.38065552040094,0.26852240299851216,49.830685898022,0.0
C(Airline)[T.MQ],1.352859953504261,0.16679192023953168,8.111064082489152,5.064660961283211e-16
C(Airline)[T.NK],3.6722630758776256,0.17865629295441715,20.554904700807693,1.0100234013961657e-93
C(Airline)[T.OH],-1.8101389747827143,0.1739700791411286,-10.404886769720253,2.4146411461658866e-25
C(Airline)[T.OO],-2.4214983525629283,0.1183417940232206,-20.461903358400924,6.787733933760873e-93
C(Airline)[T.UA],-0.530023029225708,0.11601248880516692,-4.568672172147228,4.913115234389759e-06
C(Airline)[T.WN],5.773734544901767,0.10541349826270462,54.7722506136059,0.0
C(Airline)[T.YX],-2.9204305240235438,0.15287542953509348,-19.103334871436232,3.1292230679740563e-81
DepDelay,0.9977069615455145,0.0005379885673687439,1854.5133150788204,0.0
Distance,-0.004139237074652156,5.310255545643765e-05,-77.94798271144884,0.0
TaxiOut,0.911185244101152,0.002703739796734677,337.00922152405195,0.0
TaxiIn,0.8534348428632161,0.0043867744552454945,194.5472354619736,0.0
ScheduledDepHour,0.1282110234944642,0.006121885770741863,20.94306040586695,3.243725951347107e-97
